sitzung,titel
206, Kandidatur für Das Präsidium
206, Änderung der Satzung der Studienfachschaft Chemie und Biochemie
206, Neufassung der Satzung der Studienfachschaft Mathematik
206, Neufassung der Satzung der Studienfachschaft Physik
206, Neufassung der Satzung der Studienfachschaft Informatik
206, Kandidatur für das Kultur- und Sportreferat
206, Kandidatur für das autonome Enthinderung
206, Kandidatur für das autonome Enthinderungsreferat
206, Kandidatur für das autonome Enthinderungsreferat
206, Kandidatur für das autonome Enthinderungsreferat
206, Kandidatur für das autonome Enthinderungsreferat
206, Kandidatur für die Wahlkommission
206, Kandidatur für das Referat für Politische Bildung
206, Kandidatur Anti-Antisemitismusreferat
206, Kandidatur Anti-Antisemitismusreferat
206, Kandidatur Anti-Antisemitismusreferat
206, Kandidatur Anti-Antisemitismusreferat
206, Kandidatur für Senatausschuss Lehre (SAL)
206, Kandidatur für die Schlichtungskommission
